image,attack,bit_accuracy,message_success
000000005529.png,none,1.000000,1
000000005529.png,center_crop_0.5,1.000000,1
000000005529.png,center_crop_0.75,1.000000,1
000000005529.png,random_crop_0.5,0.593750,0
000000005529.png,jpeg_q30,1.000000,1
000000021167.png,none,1.000000,1
000000021167.png,center_crop_0.5,1.000000,1
000000021167.png,center_crop_0.75,1.000000,1
000000021167.png,random_crop_0.5,0.593750,0
000000021167.png,jpeg_q30,1.000000,1
000000022705.png,none,1.000000,1
000000022705.png,center_crop_0.5,1.000000,1
000000022705.png,center_crop_0.75,1.000000,1
000000022705.png,random_crop_0.5,0.750000,0
000000022705.png,jpeg_q30,1.000000,1
000000025228.png,none,1.000000,1
000000025228.png,center_crop_0.5,1.000000,1
000000025228.png,center_crop_0.75,1.000000,1
000000025228.png,random_crop_0.5,0.593750,0
000000025228.png,jpeg_q30,1.000000,1
000000027620.png,none,1.000000,1
000000027620.png,center_crop_0.5,1.000000,1
000000027620.png,center_crop_0.75,1.000000,1
000000027620.png,random_crop_0.5,0.687500,0
000000027620.png,jpeg_q30,1.000000,1
000000039405.png,none,1.000000,1
000000039405.png,center_crop_0.5,1.000000,1
000000039405.png,center_crop_0.75,1.000000,1
000000039405.png,random_crop_0.5,0.500000,0
000000039405.png,jpeg_q30,1.000000,1
000000075612.png,none,1.000000,1
000000075612.png,center_crop_0.5,1.000000,1
000000075612.png,center_crop_0.75,1.000000,1
000000075612.png,random_crop_0.5,0.687500,0
000000075612.png,jpeg_q30,1.000000,1
000000083531.png,none,1.000000,1
000000083531.png,center_crop_0.5,1.000000,1
000000083531.png,center_crop_0.75,1.000000,1
000000083531.png,random_crop_0.5,0.843750,0
000000083531.png,jpeg_q30,1.000000,1
000000088848.png,none,1.000000,1
000000088848.png,center_crop_0.5,1.000000,1
000000088848.png,center_crop_0.75,1.000000,1
000000088848.png,random_crop_0.5,0.656250,0
000000088848.png,jpeg_q30,1.000000,1
000000089648.png,none,1.000000,1
000000089648.png,center_crop_0.5,1.000000,1
000000089648.png,center_crop_0.75,1.000000,1
000000089648.png,random_crop_0.5,0.750000,0
000000089648.png,jpeg_q30,1.000000,1
000000092177.png,none,1.000000,1
000000092177.png,center_crop_0.5,1.000000,1
000000092177.png,center_crop_0.75,1.000000,1
